Lesson A,Lesson B,Support,Confidence,Lift
Agave Focus: Mezcal,Agave Focus: Tequila,0.17256452955870108,0.9979935794542537,5.728030054597651
Agave Focus: Mezcal,Beer Fundamentals: Ale Vs Lager (Video),0.12926727726894255,0.7475922953451044,3.087192023069812
Agave Focus: Mezcal,Beer Fundamentals: Aussie Wheat Ale,0.10220649458784346,0.7671875,4.436880517656501
Agave Focus: Mezcal,Beer Fundamentals: Australian Lager (Video),0.123022481265612,0.7114767255216694,3.5492566868183797
Beer Fundamentals: Describing Beer & Further Terms,Agave Focus: Mezcal,0.12447960033305579,0.7199036918138042,3.4389300651045893
Agave Focus: Mezcal,Beer Fundamentals: Lager & Pilsner,0.12336941437690813,0.7134831460674157,3.513057431200408
Agave Focus: Mezcal,Beer Fundamentals: Pale Ale,0.12142658895364973,0.702247191011236,3.6132761573916223
Beer Fundamentals: Pilsner (Video),Agave Focus: Mezcal,0.12246738828753816,0.7082664526484751,3.5728162812635014
Agave Focus: Mezcal,Beer Fundamentals: Sours,0.10935331668054399,0.7118337850045167,4.1167530134370365
Beer Fundamentals: Understanding Beer Variation,Agave Focus: Mezcal,0.1264918123785734,0.7315409309791332,3.2762485696927492
Agave Focus: Mezcal,Beer Fundamentals: What is Beer?,0.13079378295864558,0.7564205457463885,3.007319422150883
Agave Focus: Mezcal,Beer in 90 Seconds,0.14973633083541493,0.8659711075441413,2.9497460652153547
Brand Intro: Cat Amongst The Pigeons,Agave Focus: Mezcal,0.13190396891479322,0.7628410914927769,3.210883706365041
Agave Focus: Mezcal,Brand Intro: King’s Fortune,0.12926727726894255,0.7475922953451044,3.1103637876771493
Agave Focus: Mezcal,Brand Intro: Noble Fellows,0.12801831806827643,0.7403691813804174,3.624388805045712
Agave Focus: Mezcal,Brand Intro: Old Fat Unicorn,0.1262142658895365,0.7299357945425361,3.7678490941787355
Agave Focus: Mezcal,Brand Intro: Prospero,0.11990008326394672,0.7212020033388982,4.170932292183066
Agave Focus: Mezcal,Brandy in 80 Seconds,0.14272828198723286,0.8254414125200643,3.405743383120288
Agave Focus: Mezcal,Burrito Fiestero Mezcals,0.10782681099084096,0.8283582089552239,4.790649481325317
Agave Focus: Mezcal,Cat Amongst The Pigeons Barossa Shiraz,0.1311407160699417,0.7584269662921349,3.3032485458453458
Agave Focus: Mezcal,Cat Amongst The Pigeons Eden Valley Pinot Grigio,0.13030807660283097,0.7536115569823435,3.3418614643783187
Agave Focus: Mezcal,Cat Amongst The Pigeons Fat Cat Barossa Grenache,0.12892034415764642,0.745585874799358,3.4551072757583112
Agave Focus: Mezcal,Cat Amongst The Pigeons Fat Cat Barossa Shiraz,0.12954482375797946,0.7491974317817015,3.4190732700563276
Cat Amongst The Pigeons Fat Cat Eden Valley Chardonnay,Agave Focus: Mezcal,0.12919789064668333,0.7471910112359551,3.443721411555032
Agave Focus: Mezcal,Cat Amongst The Pigeons Sparkling Shiraz,0.12975298362475715,0.7504012841091493,3.3880900083273997
Agave Focus: Mezcal,Cava Explained,0.10914515681376631,0.8534997287032012,4.936050597941628
Agave Focus: Mezcal,Champagne Explained,0.1167082986400222,0.7765466297322253,4.491007234229868
Agave Focus: Mezcal,Champagne Service,0.11504301970580072,0.8099658036150464,4.684280562479956
Agave Focus: Mezcal,Chapel Hill The Parson Grenache Shiraz Mourvedre,0.10692478490147099,0.8253883235136582,4.773473723306116
Agave Focus: Mezcal,Chapel Hill The Parson Pinot Grigio (update),0.10657785179017486,0.8258064516129032,4.775891886294207
Agave Focus: Mezcal,Chapel Hill The Parson Sangiovese Rosé (update),0.10664723841243408,0.8259000537345513,4.776433216060335
Agave Focus: Mezcal,Chapel Hill The Parson Shiraz,0.10720233139050792,0.8235607675906185,4.762904407109147
Agave Focus: Mezcal,Chapel Hill The Vinedresser Shiraz,0.10650846516791562,0.8266020463112548,4.780493054349039
Colossal Brewing Inner Gravity,Agave Focus: Mezcal,0.10831251734665556,0.7243619489559164,4.189207226465758
Agave Focus: Mezcal,Culture House Apple & Mango Sour Cider,0.10845129059117402,0.7219399538106235,4.175200086002691
Agave Focus: Mezcal,Culture House Raspberry Berliner Weisse,0.10886761032472939,0.7187356848373797,4.156668816162246
Agave Focus: Mezcal,Customer Experience: Budget Questions,0.13349986122675547,0.7720706260032103,4.916960610675328
Agave Focus: Mezcal,Customer Experience: Category & Style Questions,0.13391618096031085,0.774478330658106,4.908435224909685
Agave Focus: Mezcal,Customer Experience: Dealing with Objections,0.13273660838190396,0.7676565008025682,4.967878531462333
Agave Focus: Mezcal,Customer Experience: How to Ask Questions,0.13467943380516237,0.7788924558587481,4.857376925069787
Agave Focus: Mezcal,Customer Experience: How to Recommend,0.13301415487094087,0.7692616372391653,4.95379746018358
Agave Focus: Mezcal,Customer Experience: Occasion Questions,0.13419372744934777,0.7760834670947031,4.882110400597495
Agave Focus: Mezcal,Customer Experience: Understanding the Customer,0.13509575353871772,0.7813001605136436,4.845136795749842
Agave Focus: Mezcal,Del Centro Cerveza,0.10463502636691646,0.7536231884057971,4.358433945146207
Agave Focus: Mezcal,Estate Intro: Chapel Hill,0.1076880377463225,0.8215987294865007,4.751557339229313
Agave Focus: Mezcal,Estate Intro: Isabel Estate,0.10560643907854565,0.8399558498896248,4.8577221944660005
Agave Focus: Mezcal,Estate Intro: Krondorf,0.1149736330835415,0.7664199814986125,4.432441722856342
Agave Focus: Mezcal,Estate Intro: Oakridge Wines,0.10609214543436025,0.8305268875611082,4.803191614578929
Agave Focus: Mezcal,Estate Intro: Riddoch Coonawarra (UPDATED),0.12399389397724118,0.7170947030497593,4.099471979513341
Agave Focus: Mezcal,Father’s Day (Or Any Day) Whisky Recs!,0.16000555092978075,0.9253611556982345,4.915704008817897
Agave Focus: Mezcal,Fermentation & Distillation in 90 Seconds,0.1701359977796281,0.983948635634029,2.5712906140992975
Agave Focus: Mezcal,Fire & Ice Vodka,0.16229530946433526,0.9386035313001605,4.632587018184217
For Peat’s Sake,Agave Focus: Mezcal,0.15618928670552318,0.9032905296950242,5.06151754042173
Agave Focus: Mezcal,Four Pillars Bloody Shiraz Gin: Soaked in Victorian Grapes,0.14390785456563973,0.8322632423756019,2.2601428017933247
Agave Focus: Mezcal,Four Pillars Rare Dry Gin: Packed with Aussie Oranges,0.14265889536497364,0.825040128410915,2.409418101450478
Agave Focus: Mezcal,Further Wine Conversation,0.12357757424368582,0.7146869983948636,2.8250326442311504
Agave Focus: Mezcal,Gin Explained,0.16791562586733277,0.971107544141252,3.7371433714722895
Agave Focus: Mezcal,Gin Focus: Dry,0.16763807937829586,0.9695024077046549,3.8931370019056803
Gin Focus: Flavoured,Agave Focus: Mezcal,0.16756869275603664,0.9691011235955057,3.932062329183116
Agave Focus: Mezcal,Gin Focus: Pink,0.16756869275603664,0.9691011235955057,3.946506186283817
Agave Focus: Mezcal,Gin in 80 Seconds,0.16881765195670276,0.9763242375601927,2.8663240806106125
Agave Focus: Mezcal,Green Beacon Mollyhawk,0.10054121565362198,0.7744521646178514,4.4788943003501105
Agave Focus: Mezcal,How Are Spirits Consumed?,0.16326672217596447,0.9442215088282504,4.367175990126041
Agave Focus: Mezcal,How Are Spirits Made?,0.16389120177629754,0.947833065810594,4.270137588140757
Agave Focus: Mezcal,How Do Spirits Taste?,0.16264224257563142,0.940609951845907,4.476905754954825
How Does Whisky Taste?,Agave Focus: Mezcal,0.16049125728559532,0.9281701444622793,4.825681140689166
How Red Wine is Made,Agave Focus: Mezcal,0.12406328059950042,0.7174959871589086,2.781961842059239
Agave Focus: Mezcal,How to Enjoy Vodka,0.16250346933111295,0.9398073836276084,4.575845950284153
How to Taste & Enjoy Gin,Agave Focus: Mezcal,0.16770746600055508,0.9699036918138042,3.833859573894829
Agave Focus: Mezcal,How to Taste & Enjoy Mezcal,0.11289203441576465,0.81187624750499,4.695329245201411
How to Taste & Enjoy Tequila (Updated),Agave Focus: Mezcal,0.17256452955870108,0.9979935794542537,4.405232302326096
Agave Focus: Mezcal,Introducing Paragon Wine Estates,0.1176797113516514,0.7464788732394365,4.317116180227432
Agave Focus: Mezcal,Irish & Japanese Whisk(e)y Explained,0.156744379683597,0.9065008025682184,4.978845109227578
Agave Focus: Mezcal,Isabel Estate Marlborough Chardonnay,0.1054676658340272,0.8421052631578948,4.870152910365803
Agave Focus: Mezcal,Isabel Estate Marlborough Pinot Gris,0.1054676658340272,0.8421052631578948,4.870152910365803
Agave Focus: Mezcal,Isabel Estate Marlborough Sauvignon Blanc,0.1054676658340272,0.8397790055248618,4.856699449287444
Agave Focus: Mezcal,Kavka Vodka,0.16215653621981682,0.937800963081862,4.615979330579165
Agave Focus: Mezcal,King’s Fortune Barossa Merlot,0.12801831806827643,0.7403691813804174,3.169994248976404
Agave Focus: Mezcal,King’s Fortune Barossa Shiraz,0.1284346378018318,0.7427768860353131,3.1420312537543094
Agave Focus: Mezcal,King’s Fortune Coonawarra Cabernet Sauvignon,0.1273938384679434,0.7367576243980739,3.180991876220803
Agave Focus: Mezcal,Know the Product: Beer,0.14578129336663892,0.8430979133226325,4.2000439428986445
Agave Focus: Mezcal,Know the Product: Brandy,0.1401609769636414,0.810593900481541,4.615677318743567
Agave Focus: Mezcal,"Know the Product: Fermentation, Distillation & Maturation",0.14807105190119346,0.8563402889245587,4.077164269567473
Agave Focus: Mezcal,Know the Product: Gin,0.1428670552317513,0.8262439807383627,4.444878032997866
Agave Focus: Mezcal,Know the Product: Liqueur,0.1389120177629753,0.803370786516854,4.700844407341006
Know the Product: Rum,Agave Focus: Mezcal,0.13932833749653067,0.8057784911717497,4.643294528095664
Agave Focus: Mezcal,Know the Product: Tequila,0.1389814043852345,0.8037720706260032,4.68038912398463
Agave Focus: Mezcal,Know the Product: Vodka,0.14349153483208438,0.8298555377207063,4.363326526680343
Agave Focus: Mezcal,Know the Product: Whisky,0.14099361643075214,0.8154093097913323,4.532078277174193
Agave Focus: Mezcal,Know the Product: Wine,0.1443241742991951,0.8346709470304976,4.293104100144016
Krondorf Founder’s View Barossa Cabernet Sauvignon,Agave Focus: Mezcal,0.11219816819317235,0.7822931785195936,4.524241287650234
Agave Focus: Mezcal,Krondorf Founder’s View Barossa Shiraz,0.11261448792672772,0.7814155031295137,4.519165421790751
Agave Focus: Mezcal,Krondorf Winemakers Barossa Shiraz,0.11421038023868998,0.767723880597015,4.439982571093171
Agave Focus: Mezcal,Krondorf Winemakers Eden Valley Chardonnay,0.11275326117124618,0.7797504798464491,4.509536081680187
Liqueurs in 80 Seconds,Agave Focus: Mezcal,0.14161809603108522,0.8190208667736759,3.4963651457174816
Agave Focus: Mezcal,Matilda Bay Aussie Wheat Ale,0.10081876214265889,0.7741076185402237,4.476901684751888
Mezcal Explained (Updated),Agave Focus: Mezcal,0.17256452955870108,0.9979935794542537,4.860791979416932
Agave Focus: Mezcal,Monsuta Okinawa Dry Premium Draft,0.10505134610047183,0.7480237154150198,4.326050476148181
Agave Focus: Mezcal,Monsuta Okinawa Supreme Premium Beer,0.10484318623369414,0.7513674788662356,4.345388485321102
Agave Focus: Mezcal,Monte Alban Mezcal,0.1076880377463225,0.8308351177730193,4.804974204391956
Agave Focus: Mezcal,Mountain Goat Aussie Wheat Beer,0.1010963086316958,0.7741764080765143,4.477299515729825
Agave Focus: Mezcal,Noble Fellows Baron Betsy Marlborough Pinot Gris,0.1273938384679434,0.7367576243980739,3.657647565561502
Agave Focus: Mezcal,Noble Fellows Mary Bo Peep Marlborough Sauvignon Blanc,0.12753261171246183,0.7375601926163724,3.6365780006798354
Agave Focus: Mezcal,Noble Fellows Von Rockhop Marlborough Gruner Veltliner,0.1271856786011657,0.7355537720706261,3.670637452590673
Agave Focus: Mezcal,North American Whisk(e)y Explained,0.15716069941715238,0.9089085072231141,4.915268069830964
Agave Focus: Mezcal,Oakridge Over The Shoulder Chardonnay (update),0.10581459894532334,0.8360745614035087,4.835275513221255
Agave Focus: Mezcal,Oakridge Over the Shoulder Cabernet Merlot,0.10581459894532334,0.835158817086528,4.8299794830862925
Agave Focus: Mezcal,Oakridge Over the Shoulder Pinot Noir,0.10588398556758256,0.8334243582741672,4.81994857602219
Agave Focus: Mezcal,Old Fat Unicorn Grenache Shiraz Mataro,0.12593671940049958,0.728330658105939,3.8003987851639365
Old Fat Unicorn Montepulciano,Agave Focus: Mezcal,0.1257285595337219,0.7271268057784912,3.8148349198688076
Agave Focus: Mezcal,Old Fat Unicorn Pinot Gris,0.1252428531779073,0.7243178170144462,3.854825841511152
Agave Focus: Mezcal,Old Fat Unicorn Rosé,0.12510407993338885,0.7235152487961477,3.866259460752718
Agave Focus: Mezcal,Old Fat Unicorn Sauvignon Blanc,0.12538162642242576,0.7251203852327448,3.844898819710934
Old Fat Unicorn Tempranillo (update),Agave Focus: Mezcal,0.12565917291146267,0.7267255216693419,3.8308588947690403
Peloton de la Muerte Mezcal,Agave Focus: Mezcal,0.11046350263669165,0.819773429454171,4.741001069539933
Agave Focus: Mezcal,Perro De San Juan Blue Label Mezcal,0.10907577019150708,0.8251968503937008,4.772366375551371
Agave Focus: Mezcal,Pirate Life Sunlit,0.1015820149875104,0.7721518987341771,4.4655911575268705
Prosecco Explained,Agave Focus: Mezcal,0.11025534276991396,0.844763423710792,4.885525867784886
Agave Focus: Mezcal,Prospero Anejo,0.11740216486261448,0.7302546396201984,4.223286463164647
Agave Focus: Mezcal,Prospero Blanco,0.11878989730779906,0.7241962774957699,4.188249097619998
Agave Focus: Mezcal,Prospero Reposado,0.11809603108520678,0.7282841249465126,4.211890372684246
Agave Focus: Mezcal,Recommending Rosé Styles,0.10435747987787955,0.8836662749706228,5.11051298349784
Agave Focus: Mezcal,Riddoch Coonawarra Cabernet Sauvignon,0.11434915348320844,0.77882797731569,4.504200966723004
Agave Focus: Mezcal,Riddoch Coonawarra Chardonnay,0.11386344712739384,0.7836676217765043,4.532190114383218
Riddoch Coonawarra Elgin’s Crossing Cabernet Sauvignon (update),Agave Focus: Mezcal,0.11316958090480156,0.7898305084745764,4.567831977582502
Agave Focus: Mezcal,Riddoch Coonawarra Elgin’s Crossing Shiraz (update),0.11365528726061615,0.7882579403272376,4.5587373338668336
Riddoch Coonawarra Elgin’s Crossing Sparkling Shiraz,Agave Focus: Mezcal,0.11316958090480156,0.7898305084745764,4.567831977582502
Agave Focus: Mezcal,Riddoch The Pastoralist Coonawarra Cabernet Sauvignon,0.10067998889814044,0.7494834710743801,4.3344926906596974
Agave Focus: Mezcal,Riddoch The Representative Coonawarra Cabernet Sauvignon Merlot,0.10061060227588121,0.7532467532467532,4.3562569052135665
Agave Focus: Mezcal,Rosé Explained,0.10581459894532334,0.877445339470656,5.0745354062805355
Agave Focus: Mezcal,Rosé Focus: Chapel Hill The Parson Sangiovese Rosé,0.10345545378850958,0.8880285884455034,5.13574157972576
Agave Focus: Mezcal,Rosé Focus: Minchinbury Zero %,0.10331668054399112,0.8889552238805971,5.141100596535781
Rosé Focus: Miraval,Agave Focus: Mezcal,0.10387177352206495,0.886323268206039,5.125879189962053
Scotch Whisky Explained (Updated),Agave Focus: Mezcal,0.16569525395503748,0.9582664526484752,3.457820760032505
Sparkling Wine Focus: Freixenet Organic Cava,Agave Focus: Mezcal,0.10803497085761865,0.8616491422246818,4.983181154792181
Agave Focus: Mezcal,Sparkling Wine Focus: Rosé Prosecco,0.10845129059117402,0.8587912087912088,4.966652849558147
Agave Focus: Mezcal,Sparkling Wine Focus: Sparkling Shiraz,0.10810435747987789,0.8636363636363638,4.994673865460383
Agave Focus: Mezcal,Sparkling Wine in 80 Seconds,0.11858173744102136,0.747594050743657,4.32356559362664
